ogid	fname	gname	year	occ	gqid	cy	ark	title	creator
soulie-frederic-1800-12-23	Soulie	Frédéric	1800	writer	A6-751	FR	https://gallica.bnf.fr/ark:/12148/bpt6k5742132q	Confession générale, par Frédéric Soulié...	Soulié, Frédéric (1800-1847). Auteur du texte
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	https://gallica.bnf.fr/ark:/12148/bpt6k58202539	Les Français en Algérie, souvenirs d'un voyage fait en 1841, par Louis Veuillot,...	Veuillot, Louis (1813-1883). Auteur du texte
riviere-jacques-1886-07-15	Riviere	Jacques	1886	novelist	A6-690	FR	https://gallica.bnf.fr/ark:/12148/bpt6k8630316s	L'Allemand, souvenirs et réflexions d'un prisonnier de guerre. 13è édition / Jacques Rivière	Rivière, Jacques (1886-1925). Auteur du texte
claretie-jules-1840-12-03	Claretie	Jules	1840	novelist	A6-201	FR	https://gallica.bnf.fr/ark:/12148/bpt6k37211g	La canne de M. Michelet : promenades et souvenirs / Jules Clarétie,... ; préf. par Alfred Mézières,...	Claretie, Jules (1840-1913). Auteur du texte
feval-paul-1816-09-29	Feval	Paul	1816	novelist	A6-314	FR	https://gallica.bnf.fr/ark:/12148/bpt6k64566g	Le mari embaumé : souvenirs d'un page de M. de Vendôme / par Paul Féval	Féval, Paul (1816-1887). Auteur du texte
daudet-ernest-1837-05-31	Daudet	Ernest	1837	writer	A6-231	FR	https://gallica.bnf.fr/ark:/12148/bpt6k939253h	Histoire diplomatique de l'alliance franco-russe, 1873-1893 : souvenirs et révélations / par Ernest Daudet	Daudet, Ernest (1837-1921). Auteur du texte
hermant-abel-1862-02-03	Hermant	Abel	1862	novelist	A6-417	FR	https://gallica.bnf.fr/ark:/12148/bpt6k828338	Souvenirs de la vie frivole : les spectacles de la rue, le boulevard, les théâtres / Abel Hermant,...	Hermant, Abel (1862-1950). Auteur du texte
veuillot-louis-1813-10-11	Veuillot	Louis	1813	writer	A6-796	FR	https://gallica.bnf.fr/ark:/12148/bpt6k392051	Les français en Algérie : souvenirs d'un voyage fait en 1841 (2e édition) / par Louis Veuillot,...	Veuillot, Louis (1813-1883). Auteur du texte
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k14139132	La confession de Caroline / Arsène Houssaye	Houssaye, Arsène (1814-1896). Auteur du texte
janin-jules-1804-02-16	Janin	Jules	1804	writer	A6-434	FR	https://gallica.bnf.fr/ark:/12148/bpt6k103094m	Fontainebleau, paysages, légendes, souvenirs, fantaisies / par Charles Asselineau, Philibert Audebrand,... [et al.] ; [A	Janin, Jules (1804-1874). Auteur du texte
houssaye-arsene-1814-03-28	Houssaye	Arsène	1814	novelist	A6-422	FR	https://gallica.bnf.fr/ark:/12148/bpt6k103094m	Fontainebleau, paysages, légendes, souvenirs, fantaisies / par Charles Asselineau, Philibert Audebrand,... [et al.] ; [A	Houssaye, Arsène (1814-1896). Auteur du texte
