decision	ogid	pg_id	title	reason
reject	silvestre-charles-1889-02-02	73999	Belle Sylvie	fiction-as-memoir (Subjects)
reject	ajalbert-jean-1863-06-10	74061	Au cœur de l'Auvergne	not-memoir-title
reject	bloy-leon-1846-07-11	74081	Lettres à sa fiancée	not-memoir-title
reject	bernard-tristan-1866-09-07	74216	La pénétration saharienne (1830-1906)	given-name mismatch (augustin vs tristan)
reject	jaloux-edmond-1878-06-19	74446	L'âge d'or	fiction-as-memoir (Subjects)
reject	ajalbert-jean-1863-06-10	74453	Veillées d'Auvergne	not-memoir-title
reject	goyau-georges-1869-05-31	74513	La Franc-Maçonnerie en France	not-memoir-title
reject	hello-ernest-1828-11-05	74694	Rusbrock l'Admirable (œuvres choisies)	not-memoir-title
reject	hello-ernest-1828-11-05	74785	Le jour du Seigneur	not-memoir-title
reject	ajalbert-jean-1863-06-10	74800	L'Auvergne	not-memoir-title
reject	hello-ernest-1828-11-05	74819	M. Renan, l'Allemagne et l'athéisme au XIXe siècle	not-memoir-title
reject	estaunie-edouard-1862-02-04	74839	La vie secrète	fiction-as-memoir (Subjects)
reject	courteline-georges-1858-06-25	74861	Messieurs les ronds-de-cuir	fiction-as-memoir (Subjects)
reject	dujardin-edouard-1861-11-10	75061	L'initiation au péché et à l'amour	fiction-as-memoir (Subjects)
reject	bazin-rene-1853-12-26	75225	Mémoires d'une vieille fille	fiction-as-memoir (Subjects)
reject	estaunie-edouard-1862-02-04	75235	L'appel de la route	fiction-as-memoir (Subjects)
reject	neveux-pol-1865-08-25	75315	Golo	fiction-as-memoir (Subjects)
reject	arene-paul-1843-06-26	75517	Vingt jours en Tunisie	not-memoir-title
reject	le-bon-gustave-1841-05-07	75555	Aphorismes du temps présent	not-memoir-title
reject	le-bon-gustave-1841-05-07	75601	Hier et demain	not-memoir-title
reject	le-bon-gustave-1841-05-07	75615	Psychologie des temps nouveaux	not-memoir-title
reject	mirbeau-octave-1848-02-16	75719	Marie-Claire	fiction-as-memoir (Subjects)
reject	le-bon-gustave-1841-05-07	75725	La Révolution Française et la psychologie des révolutions	not-memoir-title
reject	goyau-georges-1869-05-31	75743	Un grand missionnaire	not-memoir-title
reject	lenormand-henri-1882-05-03	75792	Le penseur et la crétine	given-name mismatch (hr vs henri)
reject	le-bon-gustave-1841-05-07	75820	Le déséquilibre du monde	not-memoir-title
reject	cherbuliez-victor-1829-07-19	75961	Le roman d'une honnête femme	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	75972	X... Roman impromptu	fiction-as-memoir (Subjects)
reject	courteline-georges-1858-06-25	75972	X... Roman impromptu	fiction-as-memoir (Subjects)
reject	renard-jules-1864-02-22	75972	X... Roman impromptu	fiction-as-memoir (Subjects)
reject	le-bon-gustave-1841-05-07	75989	Les opinions et les croyances	not-memoir-title
reject	le-bon-gustave-1841-05-07	76269	L'évolution actuelle du monde: illusions et réalités	not-memoir-title
reject	about-edmond-1828-02-14	76373	Roma contemporanea	not-memoir-title
reject	faguet-emile-1847-12-17	76395	Le culte de l'incompétence	not-memoir-title
reject	bazin-rene-1853-12-26	76465	Écrits spirituels de Charles de Foucauld	not-memoir-title
reject	faguet-emile-1847-12-17	76607	La démission de la morale	not-memoir-title
reject	faguet-emile-1847-12-17	76777	L'art de lire	not-memoir-title
reject	faguet-emile-1847-12-17	77110	... Et l'horreur des responsabilités (suite au Culte de l'in	not-memoir-title
reject	faguet-emile-1847-12-17	77112	Les préjugés nécessaires	not-memoir-title
reject	faguet-emile-1847-12-17	77187	Initiation philosophique	not-memoir-title
reject	daudet-ernest-1837-05-31	77201	L'espionne	fiction-as-memoir (Subjects)
reject	claretie-jules-1840-12-03	77202	Récits héroïques	fiction-as-memoir (Subjects)
reject	le-bon-gustave-1841-05-07	77218	La vie des vérités	not-memoir-title
reject	hello-ernest-1828-11-05	77222	Contes extraordinaires	fiction-as-memoir (Subjects)
reject	daudet-ernest-1837-05-31	77272	La Carmélite	fiction-as-memoir (Subjects)
reject	doumic-rene-1860-03-06	77452	Oraisons funèbres	not-memoir-title
reject	faguet-emile-1847-12-17	77493	Pour qu'on lise Platon	not-memoir-title
reject	vogue-eugene-1848-02-25	77526	De Saint-Louis à Tripoli par le Lac Tchad	given-name mismatch (eugenemelchior vs eugene)
reject	bourget-paul-1852-09-02	77617	Le disciple	fiction-as-memoir (Subjects)
reject	le-bon-gustave-1841-05-07	77734	Les incertitudes de l'heure présente	not-memoir-title
reject	boylesve-rene-1867-04-14	77899	Opinions sur le roman	fiction-as-memoir (Subjects)
reject	baumann-emile-1868-09-24	77983	Bossuet	not-memoir-title
reject	bernard-tristan-1866-09-07	78141	Secrets d'État	fiction-as-memoir (Subjects)
reject	riviere-jacques-1886-07-15	78207	Aimée	fiction-as-memoir (Subjects)
reject	bernard-tristan-1866-09-07	78223	L'homme à la moustache verte	fiction-as-memoir (Subjects)
reject	boylesve-rene-1867-04-14	78379	Réflexions sur Stendhal	not-memoir-title
reject	mirbeau-octave-1848-02-16	78398	Sébastien Roch	fiction-as-memoir (Subjects)
reject	bernard-charles-1804-02-25	78415	Les ailes d'Icare	fiction-as-memoir (Subjects)
reject	mirbeau-octave-1848-02-16	78418	La maison blanche	fiction-as-memoir (Subjects)
reject	bertrand-louis-1866-03-25	78479	Sainte Thérèse	not-memoir-title
reject	faguet-emile-1847-12-17	78925	Le pacifisme	not-memoir-title
reject	faguet-emile-1847-12-17	79078	La politique comparée de Montesquieu, Rousseau et Voltaire	not-memoir-title
reject	estaunie-edouard-1862-02-04	79100	L'infirme aux mains de lumière	fiction-as-memoir (Subjects)
reject-MANUAL	goncourt-edmond-1822-05-26	14799		joint authorship 1851-70 (Jules co-author) — trait signal contaminated
reject-MANUAL	goncourt-edmond-1822-05-26	14803		joint authorship 1851-70 (Jules co-author)
reject-MANUAL	goncourt-edmond-1822-05-26	17123		joint authorship 1851-70 (Jules co-author)
accept-MANUAL	goncourt-edmond-1822-05-26	17238		2e serie: Edmond alone (post-1870 diary)
accept-MANUAL	goncourt-edmond-1822-05-26	17420		2e serie: Edmond alone
accept-MANUAL	goncourt-edmond-1822-05-26	17505		2e serie: Edmond alone
accept-MANUAL	goncourt-edmond-1822-05-26	17746		3e serie: Edmond alone
accept-MANUAL	goncourt-edmond-1822-05-26	17947		3e serie: Edmond alone
accept-MANUAL	goncourt-edmond-1822-05-26	18055		3e serie: Edmond alone
reject-MANUAL	sainte-beuve-charles-1804-12-23	17044		third-person memoir (duc de Saint-Simon; SB = editor)
accept-MANUAL	daudet-ernest-1837-05-31	30915		first-person childhood memoir, owner=author
reject-MANUAL	alain-chartier-1868-03-03	72071		third-person: souvenirs CONCERNANT Jules Lagneau
note-MANUAL	bernard-tristan-1866-09-07	71206		frozen fiction-reject kept for primary; genuine cavalry memoir suspected — sensitivity candidate
note-MANUAL	mirbeau-octave-1848-02-16	75719		witness: PG Authors field includes preface-writers (Marie-Claire is by M. Audoux) — validates strict rules
